uf,season,week,P25,P50,P75,P90,P95
RN,2023-2024,13,92,166,186,530.2000000000003,711.4999999999995
RN,2023-2024,14,108,193.5,218.45000000000005,624.3000000000004,927.1499999999999
RN,2023-2024,15,124,226,249,719,1040
RN,2023-2024,16,150,274.5,305.45000000000005,858.1000000000001,1293.6999999999994
RN,2023-2024,17,170,320,367,1087.5000000000007,1619.2999999999997
RN,2023-2024,18,204,377,421,1268.2000000000003,1838.7999999999993
RN,2023-2024,19,236.75,426.5,480,1367.3000000000018,2026.1499999999999
RN,2023-2024,20,263,475.5,528.45,1541,2333.3999999999996
RN,2023-2024,21,291.75,516,577,1721,2372.25
RN,2023-2024,22,290,545.5,597.45,1675.1000000000015,2442.1499999999996
RN,2023-2024,23,326,562.5,619,1830.3000000000004,2530.1
RN,2023-2024,24,330,568,632.45,1828.700000000001,2534.949999999999
RN,2023-2024,25,331.75,592.5,653.45,1785.7000000000023,2610.45
RN,2023-2024,26,335.75,612,682.45,2011.3000000000018,2895.25
RN,2023-2024,27,351,610,681,2067.600000000001,2905.649999999999
RN,2023-2024,28,363,661,734,2100.2000000000003,3204.3999999999996
RN,2023-2024,29,361,656,743,2169.2000000000003,3149.2499999999995
RN,2023-2024,30,377.75,665.5,750.45,2087.500000000001,2906
RN,2023-2024,31,377.75,659,751.45,2181.7000000000007,3321.7999999999993
RN,2023-2024,32,376.75,686,771.45,2130.500000000001,2997.849999999999
RN,2023-2024,33,366,663,742.3500000000001,2128.2000000000003,3043.3
RN,2023-2024,34,368,657.5,730,2018.2000000000003,2866.0999999999945
RN,2023-2024,35,322.75,607,678.45,1816.6000000000008,2718.2499999999986
RN,2023-2024,36,327.75,595,670.9000000000001,1879.0000000000027,2680.6999999999994
RN,2023-2024,37,307.75,557,620.45,1807.1000000000001,2620.0499999999984
RN,2023-2024,38,292.75,534,593.45,1640.700000000001,2483.3999999999987
RN,2023-2024,39,286,503,557.45,1534.3000000000004,2326.899999999998
RN,2023-2024,40,267,477,532,1532.3000000000004,2237.4499999999994
RN,2023-2024,41,265,453.5,502,1369.5000000000007,2116.1
RN,2023-2024,42,254,443,490,1348.3000000000004,1877.7499999999993
RN,2023-2024,43,225.75,404.5,449,1187.1000000000001,1652.2499999999998
RN,2023-2024,44,216,374,410,1128.4000000000005,1619
